Sexo Masa Per_abdo Long_pie Long_man Estatura
Hom 80.7 98.1 24.1 18 169.2
Hom 114.5 105.2 25.7 19.1 183.6
Hom 67.9 86.4 24.7 18.8 172
Hom 92.4 100.4 28 20.7 185.4
Hom 66.7 75.3 27.2 19.8 176.7
Hom 71.9 86.2 26.2 18.9 164.2
Hom 81.4 95.6 25.1 19 175.6
Hom 63.7 77.5 25.4 17.8 173.9
Hom 63.4 81.1 26.1 18.9 170.4
Hom 79.3 91.3 25.2 18.4 173.5
Hom 85.1 97 26.2 19.2 172.4
Hom 56.8 77.9 25.5 19.1 176
Hom 68.6 83.2 26 18.1 168.7
Hom 101.6 114 26 19.2 160.7
Hom 75.4 98.6 25.5 17.8 166.2
Hom 78.3 95.4 25.9 19.7 167.7
Hom 83.9 100.4 27.1 18.9 181
Hom 79.3 91.3 24.9 18.4 169.4
Hom 86.4 97 25.2 17.8 170.6
Hom 54.6 69.2 25.1 19 179.8
Hom 84.3 93.5 25.8 19.9 175.3
Hom 76.4 91.2 25.6 19.5 172.2
Hom 77.2 95.3 24.3 17.8 164
Hom 77.3 91.1 24.8 18.1 168.7
Hom 78.4 93.4 26 19.7 168.7
Hom 55.8 67.9 25.7 18.4 165.9
Hom 73.5 86 27.9 20.2 183.1
Hom 80.2 101.1 23.2 17.6 168.5
Hom 88.7 103.7 25.5 19.5 171.7
Hom 69.1 84.4 24.5 18.3 166.8
Hom 57.6 73.3 25.4 17.9 171.1
Hom 70 86.3 24.5 19.2 168.4
Hom 87.5 95.9 26.6 19.8 173.5
Hom 75.4 98.2 24.5 18 157.9
Hom 57 73 25.8 18.9 168.3
Hom 91.9 92.5 26.7 19.6 179
Hom 89.5 105.1 25.7 19.3 168.6
Hom 69.6 78.7 27.6 20 172.6
Hom 66.9 76.3 26.5 19.1 174.6
Hom 53.9 70.9 24.5 18.1 166
Hom 53.1 66.3 24.6 18 173.4
Hom 67.2 78.8 24.4 17.5 165.7
Hom 81 94.3 26.8 19.6 173
Hom 78.3 90.8 25.2 19.1 172.2
Hom 72.5 80.5 26.1 19.1 181.8
Hom 66.1 79.2 26.2 19 168.7
Hom 70.2 85.3 24.9 18.1 169.9
Hom 72 87.2 26.2 19.9 174
Hom 72.6 84.9 25.2 19.6 171.2
Hom 95.5 99.6 25 19.3 172.2
Hom 111.9 110.4 28.9 19.6 183.8
Hom 80.5 96.2 26 18.7 169.9
Hom 71.6 91.1 25 17.9 164
Hom 64.8 86.4 22.4 17 160.8
Hom 84.3 102.9 26.4 18.5 170.9
Hom 68.1 83.4 26.5 18.9 168
Hom 78.3 89.4 26.2 19.4 173.7
Hom 74.1 86.8 27.4 19.1 172.2
Hom 64.3 88.7 25.4 18.3 166.4
