Sexo Masa Per_abdo Long_pie Long_man Estatura
Hom 69.6 83.4 25.9 18.9 169.2
Hom 66.2 74 24.7 18.2 169.6
Hom 71.2 76.3 27.5 20.8 177.4
Hom 70.7 94.1 23.5 17 156.6
Hom 74.7 93.4 25.5 18.3 171
Hom 76.4 90.1 26.6 19.2 170.7
Hom 64.3 74.4 24.2 17.6 163.1
Hom 73.4 93.6 24.2 17.7 162.1
Hom 75 84.7 25.8 18.2 172.8
Hom 73.6 82.4 27.5 20.1 177.7
Hom 58.4 72.8 24.9 18.2 166.2
Hom 61 74 26 19.1 179.2
Hom 82 97.7 26.2 19 173.3
Hom 66.9 88.5 24.6 17.6 166.1
Hom 75.2 92.3 25.3 18.6 171.8
Hom 76.1 80.3 26.8 19.1 181.3
Hom 80.8 102.8 25 17.6 166.7
Hom 70.6 81.9 26.3 18.4 171
Hom 65.3 80.5 25.7 17.8 167.8
Hom 62.4 78.1 26.2 18.2 173.1
Hom 54.7 78.7 24.2 18.5 157.3
Hom 75.6 88.6 25.1 18.5 173.9
Hom 74.2 91.2 25.5 17.8 164.7
Hom 73.8 83.9 27.1 18.6 172.5
Hom 61 74.3 26.1 17.6 165.5
Hom 67.1 84.3 26 18.3 171.6
Hom 59.1 76.2 25.3 18.3 169.3
Hom 58.4 72.4 25.7 18 166.8
Hom 56.9 73.4 24.6 18.8 167.1
Hom 62.9 84.6 23.9 17.2 164.6
Hom 85.4 96.8 27.1 18.2 178
Hom 56.6 74.3 24.1 17.5 163.2
Hom 91.5 104.3 24.8 18.5 168.3
Hom 67.8 84.2 24.1 18.1 166.3
Hom 60.5 80.6 24.4 17.2 158.9
Hom 54.1 81.5 23.7 17.4 157.2
Hom 74 89.1 25.1 17.2 170.3
Hom 63.1 76.4 26.3 20 175.3
Hom 66.8 80.9 23.6 17.5 162.6
Hom 70.1 86.1 25.9 19.1 167.8
Hom 65.1 82.5 26.4 19.1 170.3
Hom 60.3 83.4 23.1 16 154.4
Hom 61.7 82.3 25.8 18.8 161.1
Hom 64.5 82.7 24.5 18.7 168.2
Hom 67.3 82.4 25.4 17.9 171
Hom 78.5 94.1 26.5 19.9 171.3
Hom 59.9 70.3 26.7 18.9 174.5
Hom 80.3 80 25.8 18.4 178.5
Hom 64.8 75.6 25.6 18.9 175.4
Hom 86 100.5 27.2 20 175.1
Hom 75.6 84 28.3 20.8 178.1
Hom 59.6 79.2 25.1 18.4 169
Hom 69 73.7 23.4 18.2 170.9
Hom 73.1 90.6 25.9 18.1 171.5
Hom 58 77.1 25.9 18.9 169.2
Hom 66.6 84.5 26.2 17.8 163.3
Hom 105 111.6 26.9 20.1 174.4
Hom 74.2 90.8 24.7 18.3 167.2
Hom 74.4 85.7 25.8 18.4 173.9
Hom 56.8 77.7 23.2 18 160.1
Hom 74 88.4 24.5 18.5 166.2
Hom 78.4 87 26.6 18.5 174.4
Hom 71.9 89.7 24.4 17.7 168
Hom 69.4 86.3 24.8 18.5 167.6
Hom 80 92.2 25.2 17.7 172.3
Hom 66.5 89.7 25.2 17.5 163.3
Hom 81.6 101 23.9 17.6 165
Hom 55.2 73.1 24.7 17.9 163.1
Hom 75.3 80.6 26.1 18.5 176.9
Hom 85.2 91.2 27.1 19.8 174.1
Hom 70.4 91.2 24.6 18.1 159.3
Hom 45 68.3 23.7 17.1 166.3
Hom 67.1 85.4 24.5 18.7 165.1
Hom 73.4 90.6 24.9 18.3 170.8
Hom 62 85.4 22.6 16.5 155
Hom 62.9 75.7 24.6 17.1 164.1
Hom 71.3 80.5 27.7 19.6 180.8
Hom 66.8 83 24.7 17.5 164.4
Hom 81.6 94.1 27.8 19.6 173
Hom 70.5 89.6 24.2 18.2 162.9
Hom 61.8 91 23.5 17.5 148.8
Hom 77.7 93.2 24.7 19.1 173.8
Hom 65.6 85.7 24.8 17.7 165.2
Hom 62.4 71.2 26.4 18.7 174.6
Hom 60.5 72.5 26.1 18.5 173.3
Hom 76.9 89.7 25.4 18.5 173
Hom 79.3 83.4 27.8 19.7 174.3
Hom 67.4 74 26.5 19.6 170
Hom 55.5 69.9 25.1 18.6 161.7
Hom 69.1 90 24.7 17 162.5
Hom 63.5 77.5 26.2 19.1 163.6
Hom 65.3 75.6 27.6 19.9 173.3
Hom 66.7 82.9 25.4 19.2 166.6
Hom 60.3 80.6 23.8 19.2 161.7
Hom 56.3 80.5 23.4 17.2 153.9
Hom 49.5 68.3 23.4 16.9 162.3
Hom 51.9 78.2 24.6 16.5 163.5
Hom 68.5 77.4 24.5 18.2 175.3
Hom 72.3 82.5 27.1 20.3 171.1
Hom 78.4 96.6 23.7 17.3 156.9
Hom 66.2 76 26.7 19.2 172.1
Hom 52.6 69.3 22.9 17.4 154
Hom 67.3 75.2 27.2 20.5 173.2
Hom 54.2 72 23.9 18.1 163.3
Hom 63.2 87.7 24.2 18.5 161.7
Hom 61.7 75.8 26.7 20 169.5
Hom 63.3 76.8 25.4 19.5 170.9
Hom 77 81.9 24.4 17.5 163.3
Hom 72 91 25.1 18.3 165
Hom 65.3 85.6 23.7 17.3 158
Hom 66.5 91.3 23.6 17.1 153.9
Hom 79 95.6 25.2 17.6 161.4
Hom 53.4 72.7 24 16.1 158.5
Hom 57 80.2 25.2 18 164.3
Hom 65.3 78.6 23.9 17.9 165.2
Hom 65.6 87.2 24.6 18.4 164.9
Hom 66.5 82.2 23.6 17.8 163
Hom 79.5 96.4 24.7 18.4 162.7
Hom 58 75.5 25 18.2 167.2
Hom 62.1 78.4 24.9 18.4 165.3
Hom 63.2 81.2 23.5 17 156.6
Hom 86.5 99.2 25.3 18.5 167.7
Hom 76.8 84.5 25.1 18.7 177.2
Hom 90.4 106.8 24 18.5 166.8
Hom 76.2 92.8 23.9 17.6 165
Hom 71.8 76.4 25.4 17.6 173.7
Hom 66.3 90.3 22.9 17 154.4
Hom 79.2 93.3 24.2 18.1 162.2
Hom 88.1 103.3 25.6 19.7 176.8
Hom 83.8 94.4 27 19.7 171.1
Hom 70.9 80 25.6 17.6 168.5
Hom 76.9 85.5 25.5 18.7 170.2
Hom 75.8 87 24.9 18.3 172.8
Hom 69.3 83.3 23.5 17.2 160.6
Hom 63.4 76.4 25.2 18.3 173.7
Hom 66 88.9 25 18.4 166.9
Hom 56 85 25 18 158.8
Hom 64.5 87.3 24.3 18.2 168.9
Hom 77.9 91.1 26.3 18.7 170.4
Hom 54.2 75.9 22.4 17 155.7
Hom 62.4 83.2 22.2 16.7 156.6
Hom 71.6 87.1 25.8 18.6 168.7
Hom 77.3 93.1 27 18.8 175.5
Hom 63 72.3 24.1 17.3 169.5
Hom 80.8 92.3 26.4 17.7 171.9
Hom 66 87.5 23.2 17.6 158
Hom 67 89 25.3 18.7 163.1
Hom 80.1 88.7 26.3 18.9 173.6
Hom 80.3 78.9 28.8 20.5 183
Hom 66 79.9 26.1 18.3 171.8
Hom 66.5 79.8 25.4 17.6 166.2
Hom 83 96.5 25.6 18.5 174.3
Hom 62 81.9 24.7 17.3 160.4
Hom 79 84.6 27.3 18.4 177.2
Hom 59 78.3 22.7 17.8 163.9
Hom 66 77.5 25.7 18.2 168.3
Hom 52 75.4 23.3 17.6 162
Hom 58 78.8 23.5 16.8 161.7
Hom 83 89.9 25.4 19 178.5
Hom 65 80.7 25.1 17.8 168.4
Hom 69.9 89.5 24.7 17.9 164.3
Hom 63 84.3 24.5 18 161.9
Hom 91.4 102 24.8 18.6 172.6
Hom 73.4 91.2 24.1 17.8 164.7
Hom 82.2 105.6 24.8 18.1 160.8
Hom 79.7 91.2 26.5 19.5 173.5
Hom 61.6 80 26.3 19.7 171.7
Hom 72.4 84.4 24.7 18.3 172.4
Hom 59.6 79.3 25.2 17.7 166.8
Hom 69.6 85 26 18.7 174.5
Hom 80.9 88.8 25.8 18.2 172.6
Hom 59.1 75.3 25.2 18.3 168.3
Hom 70.5 88.2 23.2 17.2 169.8
Hom 85 93 25.1 18.5 173
Hom 74.6 103.8 22.1 16.8 152.7
Hom 52.9 68.1 25 17.4 167
Hom 63.7 75.8 24.6 18.7 168.6
Hom 73 92 23.1 16.1 160.3
Hom 83 94.2 24.8 18 167.7
Hom 65.3 90.3 23.2 17.5 158.9
Hom 77 94.9 23.9 18.3 166.6
Hom 74.3 91.1 26.1 18.4 167.4
Hom 64.4 85.7 23 17.4 162.6
Hom 78.3 92.3 25.6 19.2 175.7
Hom 67.6 90.3 24 17.2 157.6
Hom 56.4 80.3 23.2 17.7 152.4
Hom 95.1 104.6 25.9 18.8 171.4
Hom 73.1 95.3 24.1 17.3 160.5
Hom 52.6 75.1 24.2 17.1 166.4
Hom 64.7 79.7 25.5 19 159
Hom 76.8 93.8 25.8 18.3 173.6
Hom 75.9 80.9 26.9 19.3 172.9
Hom 61.9 75.9 25 19.1 171.1
Hom 65.8 87.9 24.3 17.9 166.8
Hom 66.6 85.9 24.6 18 163
Hom 74.7 94.4 25 18.1 165.4
Hom 70.4 90.1 24.9 17.7 159.8
Hom 86.6 96.7 25.9 19.9 174.1
Hom 76.1 90 24.8 17.5 175.9
Hom 67.6 80 26.8 19.4 170
Hom 85 94 27 18.7 176.4
Hom 77.6 91.3 26.6 19.5 171.5
Hom 72.2 88.5 25.4 17.6 171.1
Hom 86.1 89.5 25.5 18.3 179
Hom 54.4 74.7 23.5 18.3 161.3
Hom 82.1 93.3 26.8 19.7 172.9
Hom 59.2 73.9 26.1 18.9 166.4
Hom 76.2 80.9 25 18.7 175.6
Hom 80.5 96.1 24.6 17.7 164.6
Hom 92 96 26.5 19.3 180.7
Hom 60.6 83.6 25 18 162.7
Hom 59.5 79.1 26.5 19.3 168.4
Hom 88.8 99.3 23.1 17.7 168.2
Hom 53.4 68.5 23.4 18.3 153.5
Hom 70.6 82.6 27.5 19.1 178.3
Hom 77 84.1 25.7 18.8 174.9
Hom 63.2 78.3 25.5 17.9 166.7
Hom 62.9 81.7 23.4 16.4 166.3
Hom 62.9 80 25.1 18 168.9
Hom 60.4 78 24.3 18 169.9
Hom 63 77.7 25.7 17.7 169.2
Hom 60.4 76.2 24 17.7 160.2
Hom 53.7 68 24.3 19.1 160.3
Hom 62.9 81 24.4 18.5 162
Hom 57.1 73.3 26.1 18.4 168.3
Hom 69.4 84.2 26.1 18.8 164.6
Hom 52.1 72.4 24.8 18.6 166.8
Hom 59.3 81.3 23.9 16.6 162.9
Hom 54.6 80.3 23.3 17.4 155.3
Hom 64.2 81 25.8 18.8 164.3
Hom 60.1 77.6 23.3 17.8 161.9
Hom 83.2 91 26.5 20 181.1
Hom 63.8 79.5 25.3 18.2 168.1
Hom 67.6 87.1 23.2 16.9 165.6
Hom 55 77.7 23.5 17.2 158.9
Hom 73 91.1 24.8 18 162.9
Hom 60.9 88 23.1 16.5 160.1
Hom 71.4 87.2 26.1 18.5 169.3
Hom 62.7 83.1 23.7 18 162
Hom 66.4 92.1 23.6 17.9 165.2
Hom 69 89.9 26.3 18.6 165.7
Hom 66.3 87.2 22.9 18 160.9
Hom 62.1 84.7 23 17.5 162.6
Hom 77.2 89.9 25.3 17.6 170.1
Hom 71.7 92 24.3 18.1 161.7
Hom 62.8 79.5 24.6 17.1 164.3
Hom 78.9 89.9 26.7 19.7 173.9
Hom 57.1 75.5 24.2 17.4 164.2
Hom 64.8 87.2 25.2 18.9 164.5
Hom 64.9 91.1 23.3 16.9 155.8
Hom 81.8 94 25.7 19.1 168.4
Hom 79.1 92.5 24.8 17.6 167.2
Hom 79.6 95.2 25 17.6 168.6
Hom 51.3 78.2 23.4 17.3 158.5
Hom 66.4 90 22.8 16.8 151.5
Hom 84.8 96.1 27.3 20.4 173.8
Hom 67.3 89 24.2 17.6 161.8
Hom 65.7 71.6 26.6 19.6 182.7
Hom 79 86 26.1 17.8 170.7
Hom 67.7 82.3 26.4 17.4 170
Hom 57.4 75.6 24.4 17.1 169.9
Hom 57.6 72.8 26.2 20 167.8
Hom 60 76.3 24.2 17.1 161.1
Hom 64.9 80.4 26 19 169.4
Hom 61.1 76 25.8 17.9 170.2
Hom 61.7 82.5 25.2 17.1 158.6
Hom 58.4 80.8 23.6 16.2 154.9
Hom 74 86 25.4 17.6 171.3
Hom 56.4 74 24.1 17.3 164.1
Hom 66.2 86.3 25.6 17.9 169.3
Hom 61.8 77.7 26.8 19.7 172.5
Hom 53.5 72.4 24.1 17.1 167.4
Hom 70.8 94.1 25.7 18.5 162.4
Hom 74.1 89.2 26.2 18.6 165.4
Hom 66 81.3 25.5 17.6 167.3
Hom 75.6 91.9 24.6 18 164.2
Hom 63.2 83.4 24.5 18.2 161.1
Hom 72.6 88.3 24.2 17.8 162.5
Hom 67.5 87.3 25.1 18.1 158.3
Hom 57.5 76 24.6 17.5 161.7
Hom 68.8 86.7 25.5 17.8 169.6
Hom 75.8 96 25.9 18.2 167.6
Hom 58.3 80.1 23.9 17.4 156.7
Hom 66.2 85.2 23.7 17.4 161.2
Hom 51.9 77.3 22.3 17 155.4
Hom 62.3 72.6 26 18.3 168.3
Hom 66.3 84 24.6 18.2 164.7
Hom 71.6 88.1 25.7 18.7 164.1
Hom 72 92 25.3 17.7 164.6
Hom 65.8 85.7 24 16.9 162.9
Hom 59.3 83.2 23.2 16.2 158.2
Hom 56.3 76.3 26 18.9 164
Hom 72.5 86.7 24.2 17.9 166.4
Hom 62 77.3 25.4 18.2 169.4
Hom 76.4 91.5 25.4 19 171.4
Hom 64.2 78 26.2 19.4 169.7
Hom 54.5 80.6 24.9 17.9 162
Hom 72.5 94.6 23.3 16.5 157.8
Hom 74.8 86.3 26.4 19.1 170
Hom 66.3 79 24.5 17.8 164.3
Hom 65 87.8 23.1 17.2 157.7
Hom 62 73.9 26 19 168.3
Hom 63.5 79.5 26.9 19.5 174.4
Hom 64.4 74.9 24.9 17.8 169.7
Hom 72.1 88.3 26 18.3 168.8
Hom 58.7 79.4 23.9 17.5 166.9
Hom 68.9 86.8 25.4 17.4 162.6
Hom 52.4 73.5 23.6 16.5 158.4
Hom 60.3 80.3 24.9 18.1 163.4
Hom 61.8 87.3 23.3 17 158
Hom 65.6 78.1 26.7 18.5 173.8
Hom 59.8 77.2 25.5 17.8 167.3
Hom 60.1 76.8 27.2 20.2 170.9
Hom 58.3 74.5 25.4 17 171.2
Hom 50.7 72.7 23.5 16.7 159.5
Hom 52.3 73.4 24.6 18.6 168.3
Hom 65.3 81.5 25.4 17.9 166.3
Hom 63.8 78.9 26 18.7 177.1
Hom 54.3 74.1 25.4 17.5 162.8
Hom 58.9 80.4 23.6 16.8 158.8
Hom 46 67.3 22 16.8 161
Hom 53.7 67.3 24.6 17.7 167.3
Hom 64.1 82 24.7 17.6 172.7
Hom 51.6 70 23.5 17.6 165.3
Hom 57.3 71.8 24.8 17.4 169.1
Hom 72.5 86.1 26.1 19 173.4
Hom 55.1 74.9 23.4 17.7 161.3
Hom 63.7 82.7 23.5 16.7 157.5
Hom 55.8 69.1 24.5 17.4 170.8
Hom 51.4 69.1 23.2 17.3 160.2
Hom 70.8 79 26.5 18.6 171.5
Hom 60.5 72 24.7 18 166.9
Hom 76.1 94.7 25.2 18.5 165.8
Hom 59.7 78.3 25.8 18.5 170.4
Hom 69.8 90.6 24.5 18 161
Hom 70 92.2 23.8 17.1 159.2
Hom 81 91.3 25.7 18.1 177.3
Hom 83.8 93.1 25.9 18.5 175.4
Hom 71.4 82.2 26.8 19.6 180.1
Hom 59.4 84.9 23.4 16 154.6
Hom 52.9 81.9 24.2 17.7 165.6
Hom 81 97.3 25.1 17.7 167.1
Hom 79.1 80.5 27.1 18.6 173.9
Hom 61.8 90 23.6 17.4 158.6
Hom 60.8 75.4 24.3 17 167.7
Hom 67.3 88.6 23.2 17.7 163.7
Hom 60.7 79.8 23.2 16.8 158.3
Hom 62 77.1 25.2 18.9 171.5
Hom 62.4 82 24.4 18.1 165
Hom 71.2 87.2 25.6 17.7 166.6
Hom 61.4 79.6 25 17.3 170.7
Hom 70 80.9 24.9 17.2 163.4
Hom 59.1 75.3 24.6 18.1 170
Hom 69.6 87.1 24.6 17.6 174.9
Hom 75.5 85 24.5 17.7 167.2
Hom 75.9 88.4 25.7 18.4 176.4
Hom 76.1 92.4 23.9 16.9 164.3
Hom 73.1 86.4 24.3 17.6 170.2
Hom 57.7 75.5 24.1 17.5 167.4
Hom 65.8 83.3 23.6 16.8 163.2
Hom 69.6 93.1 25.2 18 167.4
Hom 62.1 76.7 25.2 18.2 168.3
Hom 80.7 95.1 25.6 18.7 167.8
Hom 70.8 91.8 24.4 17.5 162.4
Hom 68 79.4 25.2 18.6 176
Hom 77.7 89.6 25.5 17.7 169.7
Hom 64.4 95.3 22.9 16.7 159.1
Hom 89.2 107.3 26.9 19.1 180.5
Hom 59.8 77.7 24.4 17.4 167
Hom 79.9 91.6 26.1 18.1 176.1
Hom 89.5 99.9 27.5 19 177.3
Hom 73 90.5 26.7 17.8 172.9
Hom 75 90.2 27.4 19 177.5
Hom 71.3 84.4 25.2 17.5 168.9
Hom 58.2 74.7 26.5 17.8 172.7
Hom 67.3 92.5 24.2 17 158.1
Hom 70.4 85.3 25.5 18 175.2
Hom 79.7 94.3 26 19 173.7
Hom 76.1 85.7 27.9 19.8 178.8
Hom 70 89.2 25 18.5 172.7
Hom 55.7 76.3 25.8 18 166.2
Hom 74.3 92.1 26 18.5 169.2
Hom 79.2 90.7 26 18.4 173.5
Hom 52.1 80.1 22.5 17 152.9
Hom 66 86.7 24.4 18.4 157.6
Hom 60.4 75.5 26.2 18.3 174.3
Hom 86.7 95 26.4 20 174.1
Hom 71.7 92.9 24.6 17.4 162.6
Hom 78.2 95.1 25.2 18.6 171
Hom 70 78.9 26.6 19.9 177.1
Hom 59.2 78.5 26 19.4 169.7
Hom 67 84.8 25.7 18.6 170.9
Hom 72.6 87.7 26.1 18.3 174.9
Hom 71.5 94.2 25.4 18.4 161.2
Hom 66.5 75.9 24.8 17.9 167
Hom 90.8 102.5 26.4 20 170.6
Hom 58.3 67.4 25.6 18.6 171.5
Hom 77 91.1 25.4 18.4 171.1
Hom 66 88 23.6 16.6 160.8
Hom 70.1 78.3 25.4 18.6 172.5
Hom 62.5 78.1 24.1 18.6 167.3
Hom 78.2 90.6 24.3 18.1 169
Hom 94.6 99.5 26.5 19.1 176.5
Hom 65.5 82.2 24.9 17.1 163.5
Hom 74.5 96.1 23.8 17.4 162.3
Hom 79.9 93.6 26.6 18.1 175.6
Hom 80.7 96.6 23.8 17.8 174.2
Hom 65.9 83.1 24.6 17.7 167.4
Hom 61.9 83.6 23.6 16.7 161.5
Hom 81.8 95 24.6 17.3 168.1
Hom 66.2 84.2 25 17.5 162.5
Hom 72 79.5 26.8 17.8 171.8
Hom 75.2 84.3 28.2 19 179.3
Hom 73.7 86.7 25.7 18.8 173.7
Hom 63.3 80.6 26.2 19.1 174.6
Hom 66 96.4 22.6 15.3 152.2
Hom 79.5 94.7 25 18.5 166.9
Hom 65 82.6 24.9 18 172.5
Hom 72.9 90.3 24.4 16.4 164.9
Hom 58.6 76.6 25.6 18 170.3
Hom 79.2 94.1 23.7 18.1 164.7
Hom 71.5 78.4 26.8 19.7 178.3
Hom 71.7 93.2 25 17.9 164.4
Hom 78.1 94.2 26.7 19 171.9
Hom 70.3 86.4 26.4 19 174.4
Hom 63.4 79.2 24.8 17.9 173.8
Hom 76.8 93.1 26.2 18.8 169.9
Hom 87.1 96 26.7 20 176
Hom 77.9 94.5 26.4 19.4 172.5
Hom 74.7 97.9 25.2 17.5 164.7
Hom 76.8 93.4 26.2 20.4 172.4
Hom 67.8 81.6 25.5 18 171.7
Hom 68.4 87.6 26.1 18.8 165.1
Hom 70 76.7 25.6 18.2 180.2
Hom 75.5 97.1 24.8 19.1 169.6
Hom 80.6 95.4 23.7 16.7 168.2
Hom 60.5 77.8 23.9 17.9 169.2
Hom 80.1 87.3 26.5 19 175.5
Hom 68.9 89.5 23.2 16.5 168.4
Hom 74.8 86.8 27.3 19.6 171.5
Hom 59.7 74.7 24.3 17 168.5
Hom 78.3 91.8 25.9 17.5 170.3
Hom 73.5 91.8 25.4 18.4 171.2
Hom 82.2 93.5 26 18.6 175.1
Hom 71.6 88.2 24 17.2 168.3
Hom 81.5 94.9 25 18 170.7
Hom 103.3 117.1 25.6 17.6 168.2
Hom 77.8 93.5 24.2 17.4 164.4
Hom 77.6 93.6 26 19 174
Hom 92 98.5 25.3 18.3 177.6
Hom 85.6 96.2 25.3 18.9 169.7
Hom 68.3 89.5 26.3 18.5 166.7
Hom 77.2 91.7 25.5 18.5 175.5
Hom 87.6 96.1 26.6 18.5 171.1
Hom 73.4 94.2 23.7 17.2 165.1
Hom 70.4 92.4 24.6 17.1 163.8
Hom 70.2 97.2 23 16.7 156.5
Hom 87.4 99 27.1 19.9 172.1
Hom 66.7 86.7 26.1 19.5 169.9
Hom 89.5 96.9 27 20 174.2
Hom 75.8 95.6 23.6 17.5 159.5
Hom 92.1 95.5 25.9 19.4 179.9
Hom 77.9 86.8 26 19.5 174.6
Hom 66 85.3 25 18.8 169.7
Hom 101.8 108.6 25.4 17.4 169.5
Hom 98.2 102.2 26.8 18.9 184.5
Hom 61.5 86 26.2 18.5 170.5
Hom 84 100.7 25 16.6 167.3
Hom 81.6 87.7 25.8 18.5 172.1
Hom 73.5 89.3 24.1 17.8 171.8
Hom 69.7 90.7 24 17.8 161.7
Hom 71.3 83.6 26.7 18.7 170
Hom 65.8 86.4 24.5 18 169.9
Hom 53.4 80.4 22.2 16.5 163.7
Hom 65.5 79.1 24.5 18.5 171.9
Hom 82.5 93.3 25.1 18.5 173.3
Hom 70.4 82.3 25.2 18.1 174.7
Hom 74.4 91.1 24.5 17.9 172.4
Hom 76.4 102 25.1 18.4 166.1
Hom 63.8 78.9 25.5 19 173.1
Hom 67.5 87 25.9 18.9 176.7
Hom 61.3 77 24.6 18 163.1
Hom 73.8 89.2 25.5 19.5 175.3
Hom 60.5 78.7 26.7 19.4 171.7
Hom 82.6 93.3 26.3 19.5 172.9
Hom 75.5 89.3 25 18.9 170.2
Hom 79.5 102.3 23.6 17.6 165.6
Hom 84.5 97.3 26.1 19.2 174.6
Hom 63.7 76.3 24.8 17.3 167.6
Hom 69.3 93.2 24.3 18.1 160.3
Hom 82.6 98.4 23.9 17.2 161.2
Hom 72.2 98.2 23.1 17.1 158.1
Hom 80.1 94.5 25.3 18.8 174.7
Hom 60.4 82.6 24.5 17.6 161.6
Hom 70 89.2 26.3 19 174.3
Hom 68.5 88.3 24.5 17.6 162.8
Hom 76.2 89.6 26.7 20 175.9
Hom 66.9 82.6 25.2 18.3 163.6
Hom 56.5 72.4 25 18.3 164.2
Hom 70.1 83.2 25.9 18.3 172.6
Hom 80.7 91.9 26.1 19.1 170.6
Hom 74.2 89.1 23.8 17.8 168.6
Hom 82.6 94.7 26.8 19 172.1
Hom 72.9 85.1 24.8 17.4 162.9
Hom 73.4 93.6 25 19 167
Hom 70.4 79.5 26.4 18.8 169.8
Hom 75.9 88 25.9 18.3 178.1
Hom 53 76.2 23.6 18.1 162
Hom 79.2 93.3 25 17.8 174.8
Hom 77.3 84.5 26.1 18.7 175.3
Hom 72.6 81.7 24.4 17.6 167.7
Hom 56.1 80.1 22.3 16.8 158.2
Hom 71.1 89.4 25 18.8 166.6
Hom 67.2 94 24.6 17.4 160.4
Hom 69.9 90.8 26 18.6 167.4
Hom 60.8 77.9 25 16.8 167.4
Hom 65.5 85.6 24.9 17.3 168.8
Hom 63.8 81.3 25.4 19 165.9
Hom 85.5 100.4 26.2 19.4 173.2
Hom 75.1 86 25.1 18.1 167.5
Hom 73.9 92 25.7 18 178.2
Hom 68.5 89.1 25.6 18.2 161.7
Hom 80.9 98.2 23.2 17.1 160.9
Hom 89.6 102.1 26 18.6 168
Hom 75.8 85.6 25.7 19.2 180.5
Hom 59.6 76.4 24.2 16.8 164
Hom 69.8 85.4 25 16.5 161.2
Hom 73.6 83.3 27.2 20.4 176.2
Hom 62.8 85.9 24.6 17.8 163.4
Hom 65.5 81.9 24.5 17.6 168.6
Hom 90.6 92.1 26 18.8 183.8
Hom 66.9 88 23.5 18.3 161.1
Hom 103.4 110.4 26.5 20.2 172.3
Hom 80.8 93.3 25.9 18.2 170.6
Hom 67.5 82.3 24.8 17.7 169.5
Hom 68.9 77.5 24 18.1 169.3
Hom 81 88.2 26.9 19.7 173.9
Hom 75.4 86.8 24.3 18.5 172.6
Hom 71.4 88.3 25.8 18.2 166.9
Hom 62.3 78.5 25.7 18.9 165.5
Hom 84.8 82.6 26.1 18.8 180.7
Hom 62.6 78 25.9 17.6 167.5
Hom 67.1 92.9 24.6 17.9 166.2
Hom 81.7 90 26.5 19.2 170.7
Hom 59.1 78.1 23.5 18.1 164
Hom 71.4 94.4 23.7 17.7 165
Hom 75.6 88.6 26.4 17.4 170.2
Hom 59.7 72.3 26 18 167.8
Hom 70.5 92 25.6 18.3 171.2
Hom 54 70.7 23.7 17 164.4
Hom 82.4 98 25.5 18.6 178
Hom 76.7 88.4 24.9 18.2 171.3
Hom 50.3 69.7 24.2 17.4 160.7
Hom 83.9 88.1 27.5 19.5 180.3
Hom 64.9 87 24.5 18 161.1
Hom 66.1 84.3 23.7 18.7 165.4
Hom 52.8 66.5 24.9 18 167.5
Hom 59 70.1 26.6 18.7 179.1
Hom 51.4 69.6 25.4 18.6 166.3
Hom 84.5 97.3 25.8 19.4 171.1
Hom 64.9 70.9 26.6 19.2 179.4
Hom 70.2 87.3 26.4 18.7 166.6
Hom 75.7 93.1 25.9 18.3 165.9
Hom 73.5 91.4 25.6 17.8 171.2
Hom 69.8 78.3 25 18.6 176.1
Hom 62 72.5 27 18.8 175.7
Hom 81.1 94.4 25.5 18.8 172.5
Hom 60.1 90.3 22.9 18.1 153.6
Hom 79 91.7 24.5 18.6 174.9
Hom 92.3 107 26.5 19.7 166.4
Hom 56.5 70.1 25.3 18.1 171.5
Hom 68.9 79.8 24.9 18.5 176.4
Hom 58.9 69.2 26 19.1 180.9
Hom 108.7 113.2 24.7 18.2 164.7
Hom 71 97.6 24.7 17.7 161.4
Hom 58.8 80.4 23 17.9 159.7
Hom 82 95.9 26.7 18.6 168.2
Hom 68.7 92.2 25.4 17.2 168.7
Hom 76.6 79.1 27.9 18.7 184.8
Hom 70.5 78.3 25 19.3 174.3
Hom 69 96 23.1 16.9 158.8
Hom 65.9 81.5 25.1 18.1 168.6
Hom 76.1 89.7 25.4 18.3 166.8
Hom 80.3 93 26.6 19.1 174.4
Hom 96.9 102.6 27.5 19.8 182.8
Hom 78.8 93.3 26 19.1 167.2
Hom 71 92.5 25.6 18.8 169.4
Hom 62.4 71.4 25.5 18.2 173.6
Hom 66.2 87.9 24.1 17.5 161.1
Hom 70.4 78.7 26.1 18.7 173.3
Hom 51.6 81.5 23.8 16 156.3
Hom 73.6 84.3 25.9 18.8 175.5
Hom 72.6 87.3 26.7 19.8 173.3
Hom 89.3 97.6 23.9 17.5 168.9
Hom 80.3 88.3 26.5 19.4 184.8
Hom 86.5 93.4 26.2 18.7 174.1
Hom 75.2 89.8 24 17.3 166.8
Hom 54.9 73.8 26 18.7 178.5
Hom 53.6 70 22.6 16.1 160.8
Hom 65.7 84.8 22.5 16.5 160.7
Hom 68.5 85.3 24.7 17.3 166.7
Hom 81.9 92.4 25 18 167.4
Hom 54.5 70.3 24.7 17.9 162.1
Hom 90.9 99.7 24.2 17.8 164.3
Hom 70.2 82.3 25.9 18.7 165.6
Hom 67.1 78.6 25.5 18.1 172.4
Hom 88.6 95.7 26.3 18.8 174.5
Hom 53.6 67.4 25 18.4 170.3
Hom 61.4 74.3 25.9 19.3 172.5
Hom 56.5 71.5 24.1 16.9 163.5
Hom 62.6 75.7 23.9 18.3 173.5
Hom 69.7 80.5 25.8 18.3 178.8
